,year,Franchise,average_rating,total_franchise_sales,franchise_launch,age
0,1996,Diablo,94.0,1.59,1996,0
1,1996,Mario,94.0,23.9,1996,0
2,1996,Resident Evil,91.0,8.82,1996,0
3,1996,Tomb Raider,91.0,5.66,1996,0
4,1997,Final Fantasy,92.0,13.11,1997,0
5,1998,Final Fantasy,83.0,0.17,1997,1
6,1998,Resident Evil,89.0,6.09,1996,2
7,1998,The Legend of Zelda,99.0,9.82,1998,0
8,1998,Tomb Raider,76.0,3.51,1996,2
9,1999,Final Fantasy,85.0,9.19,1997,2
10,1999,Mario,85.0,9.35,1996,3
11,1999,Pokemon,77.0,37.49,1999,0
12,1999,Resident Evil,90.0,4.28,1996,3
13,2000,Diablo,88.0,0.13,1996,4
14,2000,FIFA,84.33333333333333,1.24,2000,0
15,2000,Final Fantasy,94.0,5.81,1997,3
16,2000,Kirby,77.0,3.0,2000,0
17,2000,Mario,91.0,6.789999999999999,1996,4
18,2000,Pokemon,81.0,0.45,1999,1
19,2000,Resident Evil,72.25,1.85,1996,4
20,2000,Street Fighter,77.33333333333333,0.85,2000,0
21,2000,The Legend of Zelda,95.0,3.36,1998,2
22,2001,Diablo,87.0,1.06,1996,5
23,2001,FIFA,80.25,0.96,2000,1
24,2001,Final Fantasy,90.5,8.82,1997,4
25,2001,Grand Theft Auto,97.0,13.1,2001,0
26,2001,Halo,97.0,6.43,2001,0
27,2001,Mario,83.0,16.84,1996,5
28,2001,Pokemon,78.0,0.89,1999,2
29,2001,Resident Evil,77.5,2.34,1996,5
30,2001,Street Fighter,84.0,0.25,2000,1
31,2002,FIFA,81.875,5.13,2000,2
32,2002,Grand Theft Auto,94.0,16.16,2001,1
33,2002,Kirby,81.0,2.27,2000,2
34,2002,Mario,86.25,11.69,1996,6
35,2002,Resident Evil,87.0,2.71,1996,6
36,2002,Street Fighter,83.0,0.15,2000,2
37,2002,The Elder Scrolls,85.33333333333333,2.86,2002,0
38,2002,The Legend of Zelda,95.0,7.3,1998,4
39,2002,Tomb Raider,66.0,0.14,1996,6
40,2003,FIFA,81.5,0.91,2000,3
41,2003,Final Fantasy,84.0,9.04,1997,6
42,2003,Grand Theft Auto,95.0,4.25,2001,2
43,2003,Halo,83.0,0.04,2001,2
44,2003,Kirby,61.0,1.62,2000,3
45,2003,Mario,84.2,17.93,1996,7
46,2003,Pokemon,72.66666666666667,2.22,1999,4
47,2003,Resident Evil,62.0,2.0,1996,7
48,2003,Tomb Raider,50.5,1.25,1996,7
49,2004,Call of Duty,77.5,4.5,2004,0
50,2004,FIFA,79.25,4.890000000000001,2000,4
51,2004,Final Fantasy,78.8,2.0,1997,7
52,2004,Grand Theft Auto,81.5,21.049999999999997,2001,3
53,2004,Halo,95.0,8.49,2001,3
54,2004,Kirby,80.0,1.64,2000,4
55,2004,Mario,77.77777777777777,20.34,1996,8
56,2004,Monster Hunter,68.0,0.5,2004,0
57,2004,Pokemon,78.33333333333333,11.26,1999,5
58,2004,Resident Evil,71.0,0.57,1996,8
59,2004,Street Fighter,78.0,0.81,2000,4
60,2004,The Legend of Zelda,81.0,3.82,1998,6
61,2005,Call of Duty,81.2,2.08,2004,1
62,2005,FIFA,72.11111111111111,6.01,2000,5
63,2005,Final Fantasy,85.0,0.61,1997,8
64,2005,Forza,92.0,1.05,2005,0
65,2005,God of War,94.0,4.45,2005,0
66,2005,Grand Theft Auto,91.33333333333331,10.65,2001,4
67,2005,Halo,89.0,0.85,2001,4
68,2005,Kirby,86.0,0.73,2000,5
69,2005,Mario,74.55555555555556,31.76,1996,9
70,2005,Pokemon,62.0,3.91,1999,6
71,2005,Resident Evil,83.33333333333333,5.3100000000000005,1996,9
72,2006,Call of Duty,79.2,5.3,2004,2
73,2006,FIFA,73.94117647058823,8.73,2000,6
74,2006,Final Fantasy,76.33333333333333,10.88,1997,9
75,2006,Gears,94.0,6.11,2006,0
76,2006,Grand Theft Auto,82.0,8.620000000000001,2001,5
77,2006,Kirby,71.0,1.96,2000,6
78,2006,Mario,78.0,32.83,1996,10
79,2006,Pokemon,68.0,22.15,1999,7
80,2006,Resident Evil,71.0,0.43,1996,10
81,2006,Street Fighter,78.33333333333333,0.33,2000,6
82,2006,The Elder Scrolls,88.75,4.6499999999999995,2002,4
83,2006,The Legend of Zelda,95.5,8.9,1998,8
84,2006,Tomb Raider,75.16666666666667,1.6700000000000002,1996,10
85,2007,Assassin's Creed,81.0,10.38,2007,0
86,2007,Call of Duty,83.8,20.39,2004,3
87,2007,FIFA,77.83333333333333,9.49,2000,7
88,2007,Final Fantasy,77.66666666666667,11.22,1997,10
89,2007,Forza,90.0,4.06,2005,2
90,2007,Gears,87.0,0.02,2006,1
91,2007,God of War,93.0,4.07,2005,2
92,2007,Grand Theft Auto,75.0,0.97,2001,6
93,2007,Halo,83.0,12.24,2001,6
94,2007,Mario,79.0,35.339999999999996,1996,11
95,2007,Monster Hunter,72.0,2.58,2004,3
96,2007,Pokemon,74.33333333333333,4.96,1999,8
97,2007,Resident Evil,80.66666666666667,3.83,1996,11
98,2007,Sonic,75.33333333333333,8.06,2007,0
99,2007,The Elder Scrolls,88.33333333333333,3.12,2002,5
100,2007,The Legend of Zelda,90.0,5.17,1998,9
101,2007,Tomb Raider,77.75,2.37,1996,11
102,2008,Assassin's Creed,68.5,0.97,2007,1
103,2008,Call of Duty,82.0,17.59,2004,4
104,2008,FIFA,74.8,10.29,2000,8
105,2008,Final Fantasy,80.16666666666667,2.25,1997,11
106,2008,Gears,93.0,6.76,2006,2
107,2008,God of War,91.0,3.19,2005,3
108,2008,Grand Theft Auto,95.33333333333331,22.59,2001,7
109,2008,Kirby,76.0,2.96,2000,8
110,2008,Mario,74.33333333333333,37.75,1996,12
111,2008,Pokemon,58.5,2.3,1999,9
112,2008,Sonic,70.0,5.14,2007,1
113,2008,Tomb Raider,74.2,3.11,1996,12
114,2009,Assassin's Creed,78.25,12.36,2007,2
115,2009,Call of Duty,81.85714285714286,27.05,2004,5
116,2009,FIFA,81.0,10.74,2000,9
117,2009,Final Fantasy,71.0,7.42,1997,12
118,2009,Forza,92.0,5.51,2005,4
119,2009,God of War,91.0,2.63,2005,4
120,2009,Grand Theft Auto,90.5,2.43,2001,8
121,2009,Halo,82.5,8.99,2001,8
122,2009,Mario,80.0,33.93,1996,13
123,2009,Monster Hunter,81.0,2.5,2004,5
124,2009,Pokemon,65.33333333333333,13.48,1999,10
125,2009,Resident Evil,77.66666666666667,9.77,1996,13
126,2009,Sonic,74.0,8.1,2007,2
127,2009,Street Fighter,92.66666666666669,7.140000000000001,2000,9
128,2009,The Legend of Zelda,87.0,3.38,1998,11
129,2009,Tomb Raider,63.0,0.44,1996,13
130,2010,Assassin's Creed,74.66666666666667,6.91,2007,3
131,2010,Call of Duty,79.66666666666667,29.46,2004,6
132,2010,FIFA,79.11111111111111,15.56,2000,10
133,2010,Final Fantasy,71.25,3.67,1997,13
